time,open,high,low,close,Upper Band,Lower Band,SMA,Volume,RSI,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2024-10-20T21:36:00-04:00,134.1,134.1,134.1,134.1,134.1200000001718,134.03199999982817,134.076,4,80.14324447993923,80.14324447993923,75.85279684793282,NaN,NaN,NaN,NaN
2024-10-20T21:38:00-04:00,134.1,134.1,134.1,134.1,134.12090465365375,134.03709534634626,134.079,6,80.14324447993923,80.14324447993923,76.43179649628685,NaN,NaN,NaN,NaN
2024-10-20T21:39:00-04:00,134.1,134.1,134.1,134.1,134.1207814386697,134.04321856133035,134.08200000000002,8,80.14324447993923,80.14324447993923,77.01079614464088,NaN,NaN,NaN,NaN
2024-10-20T21:40:00-04:00,134.09,134.1,134.09,134.1,134.11935112753488,134.0506488724652,134.08500000000004,24,80.14324447993923,80.14324447993923,77.58979579299492,NaN,NaN,NaN,NaN
2024-10-20T21:41:00-04:00,134.1,134.11,134.1,134.1,134.11599999954242,134.06000000045762,134.08800000000002,6,80.14324447993923,80.14324447993923,78.16879544134895,NaN,NaN,NaN,NaN
2024-10-20T21:42:00-04:00,134.1,134.11,134.1,134.11,134.11457965191642,134.0674203480836,134.091,21,84.88439201697865,84.88439201697865,79.0864484852058,NaN,NaN,NaN,NaN
2024-10-20T21:43:00-04:00,134.1,134.1,134.1,134.1,134.11207878306277,134.07392121693726,134.09300000000002,14,67.52213977791985,67.52213977791985,78.76394065484418,NaN,NaN,NaN,NaN
2024-10-20T21:44:00-04:00,134.09,134.1,134.09,134.1,134.1123303015163,134.07566969848375,134.09400000000002,10,67.52213977791985,67.52213977791985,78.13458309008922,NaN,NaN,NaN,NaN
2024-10-20T21:45:00-04:00,134.1,134.1,134.1,134.1,134.11232050722683,134.07767949277323,134.09500000000003,10,67.52213977791986,67.52213977791986,77.50522552533428,NaN,NaN,NaN,NaN
2024-10-20T21:46:00-04:00,134.09,134.1,134.09,134.1,134.1119999986156,134.08000000138446,134.09600000000003,26,67.52213977791986,67.52213977791986,76.87586796057933,NaN,NaN,NaN,NaN
2024-10-20T21:47:00-04:00,134.1,134.1,134.1,134.1,134.1112828551994,134.08271714480068,134.09700000000004,6,67.52213977791986,67.52213977791986,75.97436048186367,NaN,NaN,NaN,NaN
